"time","close","high","low","open","volumefrom","volumeto","conversionType","conversionSymbol","ts","timeDate"
1514937600000,0.61,0.61,0.2937,0.2937,2109.83,1227.38,"direct","",1514937600,"2018-01-02"
1515024000000,0.5872,0.7393,0.524,0.61,7373658.55,4242100.61,"direct","",1515024000,"2018-01-03"
1515110400000,0.5175,0.583,0.5062,0.572,3266.01,1784.55,"direct","",1515110400,"2018-01-04"
1515196800000,0.5452,0.5566,0.5175,0.5175,6064.04,3238.4,"direct","",1515196800,"2018-01-05"
1515283200000,0.5132,0.52,0.5132,0.5132,1139.89,585.58,"direct","",1515283200,"2018-01-06"
1515369600000,0.5132,0.5132,0.5132,0.5132,0,0,"direct","",1515369600,"2018-01-07"
1515456000000,0.5132,0.5132,0.5132,0.5132,0,0,"direct","",1515456000,"2018-01-08"
1515542400000,0.5132,0.5132,0.5132,0.5132,0,0,"direct","",1515542400,"2018-01-09"
1515628800000,0.4193,0.5,0.2201,0.3701,26431,9365.72,"direct","",1515628800,"2018-01-10"
1515715200000,0.485,0.5,0.3601,0.4193,26149.11,11067.94,"direct","",1515715200,"2018-01-11"
1515801600000,0.4785,0.58,0.4101,0.485,37695,18049.44,"direct","",1515801600,"2018-01-12"
1515888000000,0.43,0.4801,0.3848,0.4785,27953,11542.03,"direct","",1515888000,"2018-01-13"
1515974400000,0.4499,0.4697,0.3731,0.43,20479,8894.4,"direct","",1515974400,"2018-01-14"
1516060800000,0.3425,0.4499,0.195,0.4499,66214.24,18423.65,"direct","",1516060800,"2018-01-15"
1516147200000,0.3375,0.3428,0.2005,0.3425,69650.73,18873.65,"direct","",1516147200,"2018-01-16"
1516233600000,0.323,0.3485,0.272,0.3129,3687221,1223886.1,"direct","",1516233600,"2018-01-17"
1516320000000,0.3351,0.354,0.2869,0.3203,7119626,2274999.93,"direct","",1516320000,"2018-01-18"
1516406400000,0.3436,0.3795,0.3092,0.3315,7538152,2572198.62,"direct","",1516406400,"2018-01-19"
1516492800000,0.2851,0.344,0.253,0.3436,8683669,2633894.37,"direct","",1516492800,"2018-01-20"
1516579200000,0.2705,0.3083,0.2543,0.2864,9510645,2642078.04,"direct","",1516579200,"2018-01-21"
1516665600000,0.2776,0.2903,0.2555,0.2739,1359277.96,369313.56,"direct","",1516665600,"2018-01-22"
1516752000000,0.2745,0.3151,0.27,0.2776,65916.85,18762.2,"direct","",1516752000,"2018-01-23"
1516838400000,0.2985,0.3482,0.2745,0.2745,31363.48,9279.13,"direct","",1516838400,"2018-01-24"
1516924800000,0.2882,0.3179,0.2634,0.2985,30224.04,8684.82,"direct","",1516924800,"2018-01-25"
1517011200000,0.2869,0.3193,0.2739,0.2882,18822.07,5318.45,"direct","",1517011200,"2018-01-26"
